Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_UNO_R2","Arduino_UNO_R2",95.555000,-40.100000,0.000000,top
"BZ1","Buzzer","Buzzer_D14mm_H7mm_P10mm",78.230000,-106.230000,-90.000000,top
"C1","100uF","C_Radial_D5.0mm_H11.0mm_P2.00mm",87.230000,-138.730000,0.000000,top
"C2","10uF","C_Radial_D4.0mm_H5.0mm_P1.50mm",95.730000,-137.480000,-90.000000,top
"D1","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",95.810000,-149.230000,180.000000,top
"D2","LED","LED_D3.0mm",105.000000,-149.230000,180.000000,top
"J1","DHT11_Connector","PinHeader_1x03_P2.54mm_Vertical",119.190000,-142.230000,90.000000,top
"J2","Barrel_Jack","BarrelJack_Horizontal",85.730000,-160.730000,180.000000,top
"J3","Soil_Sensor_Connector","PinHeader_1x04_P2.54mm_Vertical",123.730000,-132.730000,180.000000,top
"J4","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",122.730000,-117.730000,-90.000000,top
"J5","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",106.545000,-159.230000,-90.000000,top
"J6","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",114.730000,-135.810000,180.000000,top
"J7","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",124.230000,-95.690000,0.000000,top
"K1","Relay_SPDT","Relay_SPDT_Finder_34.51_Horizontal",93.122500,-117.930000,0.000000,top
"R1","LDR07","R_LDR_5.1x4.3mm_P3.4mm_Vertical",99.530000,-127.230000,0.000000,top
"R2","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",102.730000,-132.920000,-90.000000,top
"R3","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",108.730000,-140.850000,90.000000,top
"U1","L7805","TO-220-3_Vertical",87.150000,-128.730000,0.000000,top
